ID,Source,Sentence,temporal_gold,spatial_gold,temporal_OK,spatial_OK,temporal_final,spatial_final,note,annotator,status
L0178,acre,"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may choose to take the survey for an office visit",,patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet,CHECK,CHECK,,patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet,,,pending
L0179,acre,"(if the survey has already been taken, the patient or personal health representative will not have the ability to take the survey )",,,CHECK,CHECK,,,,,pending
L0180,acre,"(if the survey has already been taken, the patient or personal health representative will not have the ability to view their previously submitted survey)",,,CHECK,CHECK,,,,,pending
L0181,acre,and the administrator can choose among only the hospitals provided in the hospital list pull down menu.,,,CHECK,CHECK,,,,,pending
L0182,acre,the administrator can choose among only the hospitals provided in the hospital list pull down menu.,,,CHECK,CHECK,,,,,pending
L0183,acre,"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment,",,,CHECK,CHECK,,,,,pending
L0184,acre,Upon notice of allergies possibly and possibly interactions the HCP must either choose to proceed with the prescription,,,CHECK,CHECK,,,,,pending
L0185,acre,Upon notice of allergies possibly and possibly interactions the HCP must cancel the prescription,,,CHECK,CHECK,,,,,pending
L0186,acre,Upon notice of allergies possibly and possibly interactions the HCP must remain on the office visit page.,,,CHECK,CHECK,,,,,pending
L0187,acre,Patient MID should be the number assigned when the patient is added to the system,,patient is added to the system,CHECK,CHECK,,patient is added to the system,,,pending
S0188,self_created,A nurse can view patient records during night shifts.,,,,,,,,,pending
S0189,self_created,A doctor may access emergency data only between 8pm and 6am.,,,,,,,,,pending
S0190,self_created,Senior physicians can update medical records during working hours.,,,,,,,,,pending
S0191,self_created,Lab technicians can run tests only within business hours.,,,,,,,,,pending
S0192,self_created,On-call nurses may override medication schedules at night.,,,,,,,,,pending
S0193,self_created,A pharmacist can issue controlled substances only during daytime.,,,,,,,,,pending
S0194,self_created,ICU staff may monitor critical patients during all hours.,,,,,,,,,pending
S0195,self_created,A surgeon can access operation logs only during business days.,,,,,,,,,pending
S0196,self_created,A hospital administrator can approve budgets before the fiscal deadline.,,,,,,,,,pending
S0197,self_created,Interns can access teaching resources only during supervision hours.,,,,,,,,,pending
S0198,self_created,A professor can submit grades only between semester start and end.,,,,,,,,,pending
S0199,self_created,Students may access exam results after the grading period.,,,,,,,,,pending
S0200,self_created,Teaching assistants can modify course content during weekdays.,,,,,,,,,pending
S0201,self_created,Department heads can approve courses within the registration period.,,,,,,,,,pending
S0202,self_created,Librarians can extend borrowing periods during exam weeks.,,,,,,,,,pending
S0203,self_created,Students can submit assignments only before the deadline.,,,,,,,,,pending
S0204,self_created,A dean can modify academic policies during the review period.,,,,,,,,,pending
S0205,self_created,Research assistants can access lab equipment on weekdays.,,,,,,,,,pending
S0206,self_created,Advisors may schedule appointments only during office hours.,,,,,,,,,pending
S0207,self_created,Students can register for courses only during enrollment periods.,,,,,,,,,pending
S0208,self_created,Reviewers can submit evaluations before the review deadline.,,,,,,,,,pending
S0209,self_created,Authors may revise papers within the rebuttal period.,,,,,,,,,pending
S0210,self_created,PC chairs can assign papers during the bidding phase.,,,,,,,,,pending
S0211,self_created,Program committee members can see all reviews after decisions.,,,,,,,,,pending
S0212,self_created,Workshop organizers can add sessions before the schedule freeze.,,,,,,,,,pending
S0213,self_created,Presenters can upload slides during the week before the conference.,,,,,,,,,pending
S0214,self_created,Attendees can access proceedings after the conference date.,,,,,,,,,pending
S0215,self_created,Authors of accepted papers can submit camera-ready after notification.,,,,,,,,,pending
S0216,self_created,Reviewers may update scores during the discussion phase.,,,,,,,,,pending
S0217,self_created,Session chairs can modify room assignments before the conference.,,,,,,,,,pending
S0218,self_created,Employees can submit expense reports during the monthly cycle.,,,,,,,,,pending
S0219,self_created,Managers can approve budgets only within the quarterly review period.,,,,,,,,,pending
S0220,self_created,Auditors can access financial records during the audit period.,,,,,,,,,pending
S0221,self_created,System administrators can schedule maintenance only during off-hours.,,,,,,,,,pending
S0222,self_created,Contractors can access the system only between 9am and 5pm.,,,,,,,,,pending
S0223,self_created,Security officers can review access logs during business hours.,,,,,,,,,pending
S0224,self_created,Finance staff can process payments only on business days.,,,,,,,,,pending
S0225,self_created,HR managers can update payroll only before the payroll deadline.,,,,,,,,,pending
S0226,self_created,Interns can access resources only during their contract period.,,,,,,,,,pending
S0227,self_created,Executives can view board materials only before the board meeting.,,,,,,,,,pending
S0228,self_created,A senior nurse on night shift may change approved lab procedures.,,,,,,,,,pending
S0229,self_created,Junior doctors can consult specialists only during rounds.,,,,,,,,,pending
S0230,self_created,A researcher can query the database only during allocated slots.,,,,,,,,,pending
S0231,self_created,Lab staff can access samples only during designated testing periods.,,,,,,,,,pending
S0232,self_created,A student can take the exam only within the scheduled time window.,,,,,,,,,pending
S0233,self_created,A customer can place orders between 8am and 10pm.,,,,,,,,,pending
S0234,self_created,A driver can update delivery status only during active routes.,,,,,,,,,pending
S0235,self_created,A cashier can process refunds only during business hours.,,,,,,,,,pending
S0236,self_created,An IT technician can deploy updates only during maintenance windows.,,,,,,,,,pending
S0237,self_created,A compliance officer can freeze accounts only during investigations.,,,,,,,,,pending
S0238,self_created,Administrators accessing from internal VPN can modify system settings.,,,,,,,,,pending
S0239,self_created,Doctors connecting via the hospital network can view all records.,,,,,,,,,pending
S0240,self_created,Remote staff using secure connections may access HR systems.,,,,,,,,,pending
S0241,self_created,Users on the corporate network can submit expense reports.,,,,,,,,,pending
S0242,self_created,External consultants accessing through the client portal can view reports.,,,,,,,,,pending
S0243,self_created,Staff connecting via hospital intranet can update patient records.,,,,,,,,,pending
S0244,self_created,Employees working remotely through VPN can access internal tools.,,,,,,,,,pending
S0245,self_created,A developer accessing from the office network can deploy code.,,,,,,,,,pending
S0246,self_created,A contractor using the company VPN can access project files.,,,,,,,,,pending
S0247,self_created,An analyst connecting from the secure network can run queries.,,,,,,,,,pending
S0248,self_created,Nurses at Ward A can access ward-specific patient records.,,,,,,,,,pending
S0249,self_created,Physicians within the ICU can override standard protocols.,,,,,,,,,pending
S0250,self_created,Staff inside the secure facility can access classified data.,,,,,,,,,pending
S0251,self_created,Managers at headquarters can approve regional requests.,,,,,,,,,pending
S0252,self_created,Technicians on-site can modify equipment configurations.,,,,,,,,,pending
S0253,self_created,Security guards within the data center can access surveillance feeds.,,,,,,,,,pending
S0254,self_created,Researchers inside the laboratory can run experiments.,,,,,,,,,pending
S0255,self_created,Healthcare workers within the hospital can view patient charts.,,,,,,,,,pending
S0256,self_created,A janitor inside the server room must log their presence.,,,,,,,,,pending
S0257,self_created,Visitors at reception must register before accessing the building.,,,,,,,,,pending
S0258,self_created,Administrators using trusted workstations can modify system settings.,,,,,,,,,pending
S0259,self_created,Doctors with hospital-issued devices can access patient records.,,,,,,,,,pending
S0260,self_created,Staff using encrypted laptops may work with sensitive data.,,,,,,,,,pending
S0261,self_created,Managers via the official management system can approve budgets.,,,,,,,,,pending
S0262,self_created,Nurses through the bedside terminal can update patient charts.,,,,,,,,,pending
S0263,self_created,Analysts using secure workstations can access financial models.,,,,,,,,,pending
S0264,self_created,Employees via two-factor authenticated devices can access HR portals.,,,,,,,,,pending
S0265,self_created,Researchers using approved lab systems can record experiment data.,,,,,,,,,pending
S0266,self_created,IT staff through the admin console can view server logs.,,,,,,,,,pending
S0267,self_created,A user via a managed device can access cloud resources.,,,,,,,,,pending
S0268,self_created,Employees within the finance department can view budget reports.,,,,,,,,,pending
S0269,self_created,Staff within the marketing division can edit campaign materials.,,,,,,,,,pending
S0270,self_created,Users within the engineering team can access source code.,,,,,,,,,pending
S0271,self_created,Managers within regional offices can approve local expenses.,,,,,,,,,pending
S0272,self_created,Members within the security group can access audit trails.,,,,,,,,,pending
S0273,self_created,Analysts from the data science department can run ML models.,,,,,,,,,pending
S0274,self_created,Admins from the IT department can reset user passwords.,,,,,,,,,pending
S0275,self_created,Staff from the legal department can access contract templates.,,,,,,,,,pending
S0276,self_created,Members within the executive committee can view board resolutions.,,,,,,,,,pending
S0277,self_created,Employees within the HR department can update personnel records.,,,,,,,,,pending
S0278,self_created,A nurse from the ICU can access critical patient data from the hospital network.,,,,,,,,,pending
S0279,self_created,A manager within the finance department can approve using the ERP system.,,,,,,,,,pending
S0280,self_created,Doctors at City Hospital using hospital devices can view lab results.,,,,,,,,,pending
S0281,self_created,Remote employees via VPN within business hours can access the intranet.,,,,,,,,,pending
S0282,self_created,Staff inside the headquarters using secure terminals can modify policies.,,,,,,,,,pending
S0283,self_created,Administrators within the IT department via the admin portal can reset accounts.,,,,,,,,,pending
S0284,self_created,Researchers inside the lab using approved workstations can run simulations.,,,,,,,,,pending
S0285,self_created,Nurses at night shift using bedside terminals can update medication records.,,,,,,,,,pending
S0286,self_created,Users from the approved network within the corporate premises can login.,,,,,,,,,pending
S0287,self_created,An analyst inside the data center using a secure system can access raw logs.,,,,,,,,,pending
